Department Key Result(s),Company Key Results,DRI,Department,Description,Objectives,Target Date
Overall - 45% Win rate,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),Measures the expected % of customers of all opportunities who sign with Pulley,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Overall - $3100 ACV,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),This represents the average revenue generated from a single customer contract over a year.,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Mid market - $2.2M New Equity ARR,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),This tracks the total value of new subscription-based contracts added within the period.,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Mid market - 33% Win rate,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),Measures the expected % of customers of all opportunities who sign with Pulley,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Mid market - $8.5k ACV,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),This represents the average revenue generated from a single customer contract over a year.,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
No department key results,"1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21)",Sam Sorbo (https://www.notion.so/Sam-Sorbo-31a0d12e7cbd80edaa69e6993d9b88a4?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),No department key results were attributed to company key result by department leader,Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"December 31, 2026"
No department key results,"1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21)",Ryan Husk (https://www.notion.so/Ryan-Husk-31a0d12e7cbd80a8b371db50f668633a?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),No department key results were attributed to company key result by department leader,Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"December 31, 2026"
Overall - 675 partnership sourced opportunities,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Ryan Husk (https://www.notion.so/Ryan-Husk-31a0d12e7cbd80a8b371db50f668633a?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),Combination of 648 early stage and 27 mid stage opportunities,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Overall - $804k new partnership equity ARR,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Ryan Husk (https://www.notion.so/Ryan-Husk-31a0d12e7cbd80a8b371db50f668633a?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Revenue target based on 675 partner sourced opportunities with blended ACV and win rate across early and mid stage ","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Mid market - 27 partnership sourced opportunities,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Ryan Husk (https://www.notion.so/Ryan-Husk-31a0d12e7cbd80a8b371db50f668633a?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),"Partnership sourced opportunities through referrals from Pulley partners across channels such as law firms, VC backed firms etc.","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
Mid market - $75k new partnerships equity ARR,Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Ryan Husk (https://www.notion.so/Ryan-Husk-31a0d12e7cbd80a8b371db50f668633a?pvs=21),Revenue (https://www.notion.so/Revenue-31a0d12e7cbd8196a3c8fb72727a8e86?pvs=21),Revenue translation of mid market partnership sourced opportunities with mid market ACV ($8.4k) and close rates (33%),"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
2-3 initiatives / quarter per app team,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),Core equity workflows and product improvement features by app teams 1 and 2,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
2-3 key equity Intelligence releases,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),AI native features for core equity product by AI1 team,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
MVP launch,20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21),Tamar Shor (https://www.notion.so/Tamar-Shor-31a0d12e7cbd801a8004ffa219d93dce?pvs=21),Product (https://www.notion.so/Product-31a0d12e7cbd819a98d9c0ab373b9d38?pvs=21),SRO product launch by AI2 team,Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"October 1, 2026"
Performance quality metric [TBD],Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),[Placeholder for ENG],"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
[Placeholder for ENG],"1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21)",Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),[Placeholder for ENG],Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"December 31, 2026"
Performance quality metric [TBD],Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21),Marvin Guerra (https://www.notion.so/Marvin-Guerra-31a0d12e7cbd80fe9bb1ddb8bdb96f2b?pvs=21),Engineering (https://www.notion.so/Engineering-31a0d12e7cbd81c9b4c7c00fe8cf3fdc?pvs=21),[Placeholder for ENG],"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
$1300 Expansion ARR,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tami Tande (https://www.notion.so/Tami-Tande-31a0d12e7cbd807384f0c051e70037af?pvs=21),Customer (https://www.notion.so/Customer-31a0d12e7cbd819daa1ffa31f91f3f95?pvs=21),Increasing average ARR across all customers (early + mid stage) by $1300 to contribute in overall goal of meeting $21M in equity ARR,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
80% Gross retention rate,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tami Tande (https://www.notion.so/Tami-Tande-31a0d12e7cbd807384f0c051e70037af?pvs=21),Customer (https://www.notion.so/Customer-31a0d12e7cbd819daa1ffa31f91f3f95?pvs=21),Ensuring 80% of customers (early + mid stage) don’t churn or downgrade package to reduce spend with pulley,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
25% logo churn,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tami Tande (https://www.notion.so/Tami-Tande-31a0d12e7cbd807384f0c051e70037af?pvs=21),Customer (https://www.notion.so/Customer-31a0d12e7cbd819daa1ffa31f91f3f95?pvs=21),Account for a maximum of 25% logos churned across all customers,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
100% onboarding CSAT,Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21),Tami Tande (https://www.notion.so/Tami-Tande-31a0d12e7cbd807384f0c051e70037af?pvs=21),Customer (https://www.notion.so/Customer-31a0d12e7cbd819daa1ffa31f91f3f95?pvs=21),"Onboarding completed on time and with high customer satisfaction to ensure superior customer experience and ultimately increase retention, while reducing churn","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
70% Hired on time,"Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21), Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21)",Emily Pallin (https://www.notion.so/Emily-Pallin-31a0d12e7cbd80b0812ae0b915f58fc1?pvs=21),Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),Percentage of open roles that were filled within the pre-defined target timeframe,"Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21), Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
5% attrition rate,"Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21), Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21)",Emily Pallin (https://www.notion.so/Emily-Pallin-31a0d12e7cbd80b0812ae0b915f58fc1?pvs=21),Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),Percentage of employees who left the organization (voluntary or involuntary) during a specific period,"Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21), Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
100% IT and security employee compliance scores,"Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21), Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)",Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),"Ensures all employees are in compliance with the organizational IT policies, which in turn ensures readiness for company IT audits and certifications (SOC 1 etc.)","Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
"100% compliance company readiness (audit, GDPR, SOC1/2)","Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21), Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)",Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),Ensures company’s IT infrastructure follows all applicable data sharing and compliance laws and mandatory certifications,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21)","December 31, 2026"
100% new IT and security compliance,"Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21), Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21)",Brandon Green (https://www.notion.so/Brandon-Green-31a0d12e7cbd80f1be4ed28b6b5a5aed?pvs=21),Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),Ensures company is up to date and compliant with all required licenses for new products,Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21),"December 31, 2026"
No department key results,"Mid market - 2026 Equity mid market ARR $6M (https://www.notion.so/Mid-market-2026-Equity-mid-market-ARR-6M-3180d12e7cbd80e2b97cd42b77ae11cd?pvs=21), Overall - 2026 Equity ARR $21M (https://www.notion.so/Overall-2026-Equity-ARR-21M-3180d12e7cbd80ffa801d73df37f8dd9?pvs=21), 2-4 ROI case studies (https://www.notion.so/2-4-ROI-case-studies-3180d12e7cbd80f7aa6cf2e23253a201?pvs=21), 20 Active Weekly Users with 2+ months usage (https://www.notion.so/20-Active-Weekly-Users-with-2-months-usage-3180d12e7cbd800286b5cfd6ec56896b?pvs=21), 1000 Waitlisted Leads (https://www.notion.so/1000-Waitlisted-Leads-3180d12e7cbd809ca5abcd7015a1790a?pvs=21)",Ailis Burpee (https://www.notion.so/Ailis-Burpee-31a0d12e7cbd806da4efd026424e28e2?pvs=21),Operations (https://www.notion.so/Operations-3260d12e7cbd8076bdecd94037b1af5e?pvs=21),No department key results were attributed to company key result by department leader,"Grow Equity Revenue, with emphasis on Mid Market  (https://www.notion.so/Grow-Equity-Revenue-with-emphasis-on-Mid-Market-3180d12e7cbd806ca6e7ffc478e7495a?pvs=21), Expand the Addressable Market (https://www.notion.so/Expand-the-Addressable-Market-3180d12e7cbd807aa006ebac0a3f5309?pvs=21)","December 31, 2026"
